Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,52.64,54.17,52.14,52.21,50.31,3517500
2007-08-01,53.1,53.17,51.94,53.0,51.07,2722100
2007-08-02,53.54,53.54,52.4,53.16,51.23,2303900
2007-08-03,53.37,54.0,52.27,52.29,50.39,2685100
2007-08-06,55.0,55.0,52.09,52.78,50.86,2875400
2007-08-07,52.4,52.91,51.62,52.1,50.21,2772300
2007-08-08,52.14,53.55,51.85,53.52,51.58,3951600
2007-08-09,53.47,54.4,52.0,52.05,50.16,4361500
2007-08-10,51.7,53.6,51.06,53.21,51.28,3744300
2007-08-13,54.0,54.54,53.09,53.75,51.8,3023700
2007-08-14,54.18,54.18,52.69,52.9,50.98,1524900
2007-08-15,52.91,52.95,50.44,50.65,48.81,3275100
2007-08-16,50.17,51.09,48.75,49.86,48.05,5405000
2007-08-17,53.39,53.48,49.29,50.26,48.43,4297300
2007-08-20,50.53,51.12,49.11,49.87,48.06,2658700
2007-08-21,49.51,50.46,49.47,50.33,48.5,3209100
2007-08-22,50.89,51.61,50.32,51.43,49.56,3141200
2007-08-23,51.7,52.42,51.18,51.82,49.94,3112100
2007-08-24,51.75,53.0,51.32,52.7,50.79,2957600
2007-08-27,52.55,53.33,52.5,52.66,50.75,2489600
2007-08-28,52.0,52.74,51.48,51.48,49.61,2992300
2007-08-29,51.7,53.9,51.57,53.62,51.67,3652700
2007-08-30,53.0,54.95,52.97,54.33,52.36,3556000
2007-08-31,54.6,55.09,53.95,54.23,52.26,3226700
2007-09-04,54.01,55.0,53.8,54.54,52.56,3419000
2007-09-05,54.17,55.14,53.5,54.84,52.85,4333800
2007-09-06,55.15,55.15,54.48,54.73,52.74,3474900
2007-09-07,54.12,54.99,54.04,54.15,52.18,3568100
2007-09-10,54.62,54.68,53.23,53.76,51.81,1888800
2007-09-11,54.09,54.56,53.91,54.5,52.52,2187300
2007-09-12,54.84,55.8,54.21,55.46,53.45,3106600
2007-09-13,55.87,56.59,55.72,56.09,54.05,2537100
2007-09-14,55.73,56.0,55.21,55.69,53.67,1542800
2007-09-17,55.26,55.69,54.94,55.27,53.26,1864500
2007-09-18,55.74,57.63,55.46,57.51,55.42,3353500
2007-09-19,57.73,58.35,57.61,58.06,55.95,3525500
2007-09-20,57.93,58.18,57.47,57.47,55.38,3671100
2007-09-21,58.31,58.36,57.42,57.42,55.33,4341000
2007-09-24,57.13,57.59,55.81,56.99,54.92,3127100
2007-09-25,56.5,57.95,56.5,57.2,55.12,3045700
2007-09-26,58.0,58.45,57.31,57.93,55.83,3481300
2007-09-27,58.11,58.75,57.38,57.82,55.72,3621600
2007-09-28,57.75,58.16,57.53,57.72,55.62,3083500
2007-10-01,57.95,58.55,57.8,58.14,56.03,2685600
2007-10-02,58.09,58.58,57.14,57.32,55.24,2178100
2007-10-03,57.4,57.4,56.39,56.52,54.47,2720700
2007-10-04,56.78,57.27,56.67,57.0,54.93,2398800
2007-10-05,57.56,57.98,57.01,57.86,55.76,3003300
2007-10-08,57.91,58.2,57.8,58.06,55.95,1921000
2007-10-09,58.33,59.52,57.9,59.4,57.24,2930700
