Date,Adj Close
5/29/2001,89.796379
5/30/2001,88.538582
5/31/2001,88.997879
6/1/2001,89.549042
6/4/2001,89.980072
6/5/2001,91.011734
6/6/2001,90.255676
6/7/2001,90.580681
6/8/2001,89.739822
6/11/2001,89.103874
6/12/2001,88.948425
6/13/2001,88.185303
6/14/2001,86.206802
6/15/2001,86.345657
6/18/2001,85.927574
6/19/2001,86.303154
6/20/2001,86.756645
6/21/2001,87.741631
6/22/2001,87.054276
6/25/2001,86.253555
6/26/2001,86.133095
6/27/2001,86.083488
6/28/2001,86.558258
6/29/2001,86.877106
7/2/2001,87.961304
7/3/2001,87.940063
7/5/2001,86.225204
7/6/2001,84.361534
7/9/2001,84.822098
7/10/2001,83.801735
7/11/2001,83.886726
7/12/2001,85.877968
7/13/2001,86.622032
7/16/2001,85.537842
7/17/2001,86.338577
7/18/2001,85.75045
7/19/2001,86.501564
7/20/2001,85.984291
7/23/2001,84.290657
7/24/2001,83.475731
7/25/2001,84.396957
7/26/2001,85.282715
7/27/2001,85.608696
7/30/2001,85.637024
7/31/2001,85.991341
8/1/2001,86.529915
8/2/2001,86.884209
8/3/2001,86.409447
8/6/2001,85.247299
8/7/2001,85.580383
8/8/2001,83.993042
8/9/2001,84.241074
8/10/2001,84.531593
8/13/2001,84.552879
8/14/2001,84.517395
8/15/2001,83.787521
8/16/2001,84.078064
8/17/2001,82.731697
8/20/2001,83.497002
8/21/2001,82.072701
8/22/2001,82.923035
8/23/2001,82.625389
8/24/2001,84.340256
8/27/2001,83.837097
8/28/2001,82.611206
8/29/2001,81.874237
8/30/2001,80.301094
8/31/2001,80.889252
9/4/2001,80.372002
9/5/2001,80.570366
9/6/2001,78.49408
9/7/2001,77.041428
9/10/2001,77.983894
9/17/2001,73.909325
9/18/2001,73.73217
9/19/2001,72.244064
9/20/2001,69.948135
9/21/2001,69.193436
9/24/2001,71.62606
9/25/2001,72.372902
9/26/2001,72.116829
9/27/2001,72.74276
9/28/2001,74.286247
10/1/2001,74.165314
10/2/2001,75.097115
10/3/2001,76.356079
10/4/2001,76.420074
10/5/2001,76.270714
10/8/2001,75.772804
10/9/2001,75.367393
10/10/2001,77.045967
10/11/2001,78.240997
10/12/2001,77.885345
10/15/2001,77.743073
10/16/2001,78.233871
10/17/2001,76.569427
10/18/2001,76.405876
10/19/2001,76.356079
10/22/2001,77.864006
10/23/2001,77.465668
10/24/2001,77.259422
10/25/2001,78.64637
10/26/2001,78.468575
10/29/2001,76.427208
10/30/2001,75.509636
10/31/2001,75.253586
11/1/2001,77.181183
11/2/2001,77.707466
11/5/2001,78.724609
11/6/2001,79.948021
11/7/2001,79.841362
11/8/2001,80.090302
11/9/2001,80.175644
11/12/2001,79.684868
11/13/2001,81.477272
11/14/2001,81.555534
11/15/2001,81.704895
11/16/2001,81.342163
11/19/2001,82.345062
11/20/2001,81.655128
