Date,IGE,EWA,EWC
11/29/2006,28.349714,23.82,25.74
11/30/2006,28.571093,24.02,25.77
12/1/2006,28.683146,23.65,25.77
12/4/2006,28.664015,23.99,26.059999
12/5/2006,28.778801,23.870001,26.17
12/6/2006,28.68861,24,26.02
12/7/2006,28.614822,23.84,25.969999
12/8/2006,28.614822,23.540001,25.98
12/11/2006,28.560148,23.82,25.940001
12/12/2006,28.459028,23.85,25.85
12/13/2006,28.685883,24.030001,25.809999
12/14/2006,29.093098,24.4,26.040001
12/15/2006,28.792469,24.219999,25.65
12/18/2006,27.99716,24.15,25.41
12/19/2006,28.40984,24.16,25.540001
12/20/2006,28.043613,23.27,25.43
12/21/2006,27.838539,23.139999,25.120001
12/22/2006,27.624699,23.219999,25.040001
12/26/2006,27.630173,23.280001,24.889999
12/27/2006,27.937233,23.66,25.27
12/28/2006,28.030458,23.74,25.35
12/29/2006,27.854994,23.5,25.32
1/3/2007,26.840582,23.540001,24.75
1/4/2007,26.237429,23.1,24.35
1/5/2007,26.423857,22.719999,24.27
1/8/2007,26.500622,22.85,24.110001
1/9/2007,26.210016,22.98,24.16
1/10/2007,25.922138,22.82,24.129999
1/11/2007,25.730213,23.030001,24.24
1/12/2007,26.497883,23.42,24.780001
1/16/2007,26.229204,23.379999,24.440001
1/17/2007,26.456757,23.360001,24.700001
1/18/2007,26.229204,23.5,24.43
1/19/2007,26.813164,23.809999,24.77
1/22/2007,26.703505,23.76,24.49
1/23/2007,27.38891,24.26,24.98
1/24/2007,27.553406,24.059999,25.23
1/25/2007,27.059912,23.52,24.969999
1/26/2007,27.169573,23.530001,25.15
1/29/2007,27.018789,23.540001,24.98
1/30/2007,27.567122,23.950001,25.25
1/31/2007,27.690495,23.92,25.34
2/1/2007,27.934488,23.860001,25.52
2/2/2007,27.909813,23.860001,25.360001
2/5/2007,27.860466,23.969999,25.469999
2/6/2007,27.868696,24.23,25.549999
2/7/2007,27.690495,24.389999,25.440001
2/8/2007,27.953691,24.530001,25.57
2/9/2007,27.844017,24.379999,25.530001
2/12/2007,27.5397,24.23,25.43
2/13/2007,28.019482,24.690001,25.9
2/14/2007,28.057865,24.950001,25.950001
2/15/2007,27.893373,24.93,26.18
2/16/2007,27.918034,24.99,26.209999
2/20/2007,27.665813,25.129999,26.02
2/21/2007,27.961912,25.120001,26.299999
2/22/2007,28.233332,25.290001,26.219999
2/23/2007,28.299135,25.709999,26.280001
2/26/2007,28.510223,25.75,26.42
2/27/2007,27.416321,24.459999,25.49
2/28/2007,27.482121,24.6,25.49
3/1/2007,27.443741,24.5,25.25
3/2/2007,26.917355,24.42,24.879999
3/5/2007,26.544479,23,24.620001
3/6/2007,27.112003,24.43,24.969999
3/7/2007,27.430029,24.17,25.15
3/8/2007,27.580811,24.27,25.27
3/9/2007,27.608242,24.25,25.48
3/12/2007,27.547928,24.84,25.41
3/13/2007,27.08732,24.16,24.860001
3/14/2007,27.309399,24.57,24.940001
3/15/2007,27.380692,25,25.059999
3/16/2007,27.150385,24.84,25
3/19/2007,27.685005,25.209999,25.23
3/20/2007,27.81661,25.540001,25.6
3/21/2007,28.293652,25.77,26.030001
3/22/2007,28.625385,25.870001,25.959999
3/23/2007,28.78166,25.75,26.1
3/26/2007,28.98296,26.370001,26.18
3/27/2007,28.999456,25.809999,26.110001
3/28/2007,28.971958,25.48,26.01
3/29/2007,29.205713,25.719999,26.219999
3/30/2007,28.878452,25.950001,26.15
4/2/2007,29.175463,26.01,26.35
4/3/2007,29.321217,26.48,26.65
4/4/2007,29.475231,26.700001,26.58
4/5/2007,29.576975,26.83,26.76
4/9/2007,29.535723,26.82,26.799999
4/10/2007,29.94549,27.35,26.75
4/11/2007,29.89323,27.110001,26.92
4/12/2007,30.250742,27.530001,27.26
4/13/2007,30.443247,27.559999,27.34
4/16/2007,30.608255,27.77,27.75
4/17/2007,30.421244,27.85,27.59
4/18/2007,30.297495,27.860001,27.719999
4/19/2007,29.937239,27.58,27.4
4/20/2007,30.316755,27.709999,27.77
4/23/2007,30.369005,27.620001,27.690001
4/24/2007,30.250742,27.200001,27.59
4/25/2007,30.819996,27.709999,28.02
4/26/2007,30.745762,27.450001,27.65
4/27/2007,30.781506,27.370001,27.879999
4/30/2007,30.390995,27.09,27.75
5/1/2007,30.437742,27.129999,27.5
5/2/2007,30.745762,27.66,27.959999
5/3/2007,31.075771,27.58,28.18
5/4/2007,31.180262,27.860001,28.370001
5/7/2007,31.39477,27.85,28.73
5/8/2007,31.389271,27.780001,28.700001
5/9/2007,31.364515,28.25,28.690001
5/10/2007,30.855761,27.799999,28.4
5/11/2007,31.477278,28.219999,28.83
5/14/2007,31.510286,28.1,28.73
5/15/2007,31.529537,28.059999,29.07
5/16/2007,31.620274,27.799999,29.129999
5/17/2007,32.057537,27.99,29.5
5/18/2007,32.478313,28.09,29.73
5/21/2007,32.813808,28,29.879999
5/22/2007,32.519543,27.790001,29.68
5/23/2007,32.670811,27.950001,29.629999
5/24/2007,32.043781,27.1,29.450001
5/25/2007,32.4893,27.65,29.799999
5/29/2007,32.310555,27.59,29.809999
5/30/2007,32.868801,27.58,30.07
5/31/2007,32.838551,27.9,30.1
6/1/2007,33.207066,28.190001,30.459999
6/4/2007,33.641571,28.459999,30.540001
6/5/2007,33.495831,28.5,30.42
6/6/2007,32.998062,28.1,30.030001
6/7/2007,32.327045,27.91,29.33
6/8/2007,32.615795,28.18,29.65
6/11/2007,32.802807,28.35,29.52
6/12/2007,32.437046,27.67,29.360001
6/13/2007,33.088818,28.02,29.799999
6/14/2007,33.652584,28.1,30.129999
6/15/2007,34.07333,28.5,30.58
6/18/2007,34.147591,28.629999,30.66
6/19/2007,34.136578,28.99,30.42
6/20/2007,33.26207,28.950001,29.98
6/21/2007,33.897324,29.02,30.049999
6/22/2007,33.603065,28.85,29.83
6/25/2007,33.138325,29.049999,29.57
6/26/2007,32.621304,28.549999,29.15
6/27/2007,32.945808,28,29.389999
6/28/2007,32.846794,28.49,29.75
6/29/2007,33.039795,28.469999,29.860001
7/2/2007,33.621517,29.120001,30.23
7/3/2007,33.773151,29.02,30.32
7/5/2007,33.825539,29.35,30.540001
7/6/2007,34.131569,29.450001,30.84
7/9/2007,34.498238,29.690001,30.9
7/10/2007,34.316277,29.32,30.719999
7/11/2007,34.37693,29.35,30.75
7/12/2007,35.074463,29.85,31.43
7/13/2007,35.416317,29.93,31.700001
7/16/2007,34.859413,29.969999,31.5
7/17/2007,34.60025,29.870001,31.6
7/18/2007,35.25367,29.84,32
7/19/2007,35.587254,30.200001,32.189999
7/20/2007,35.372211,30.129999,31.92
7/23/2007,35.256416,30.35,31.700001
7/24/2007,34.37418,29.99,31.18
7/25/2007,34.638855,30.1,31.110001
